,Time(s),ads_mass(g)
13280,13051.307318,665.0
13281,13052.313071,666.2000000000044
13282,13053.30516,663.8000000000029
13283,13054.312132,663.4000000000015
13284,13055.315628,665.8000000000029
13285,13056.323187,668.2000000000044
13286,13057.331897,666.4000000000015
13287,13058.337027,666.2000000000044
13288,13059.342425,666.4000000000015
13289,13060.335503,666.4000000000015
13290,13061.340647,666.0
13291,13062.335235,666.0
13292,13063.34024,663.8000000000029
13293,13064.347181,665.2000000000044
13294,13065.354202,665.2000000000044
13295,13066.362757,665.8000000000029
13296,13067.36905,666.5999999999985
13297,13068.376608,664.4000000000015
13298,13069.365488,664.8000000000029
13299,13070.374016,667.4000000000015
13300,13071.363316,666.0
13301,13072.369967,665.8000000000029
13302,13073.37884,661.8000000000029
13303,13074.386309,666.4000000000015
13304,13075.39183,667.5999999999985
13305,13076.382567,667.5999999999985
13306,13077.389893,663.0
13307,13078.389141,666.0
13308,13079.388065,666.2000000000044
13309,13080.379089,664.2000000000044
13310,13081.38484,664.2000000000044
13311,13082.391166,669.2000000000044
13312,13083.382606,665.4000000000015
13313,13084.388427,667.2000000000044
13314,13085.382029,666.5999999999985
13315,13086.388405,666.0
13316,13087.393229,661.4000000000015
13317,13088.383332,665.2000000000044
13318,13089.390642,665.0
13319,13090.392042,669.4000000000015
13320,13091.392667,667.2000000000044
13321,13092.379759,668.0
13322,13093.386816,668.2000000000044
13323,13094.39256,668.5999999999985
13324,13095.384878,666.4000000000015
13325,13096.390396,665.5999999999985
13326,13097.384421,665.5999999999985
13327,13098.388003,663.5999999999985
13328,13099.382772,663.0
13329,13100.387795,665.8000000000029
13330,13101.393235,665.0
13331,13102.391875,665.4000000000015
13332,13103.393602,667.2000000000044
13333,13104.381241,666.8000000000029
13334,13105.38984,666.2000000000044
13335,13106.381737,665.5999999999985
13336,13107.385808,666.4000000000015
13337,13108.392694,666.0
13338,13109.385925,666.2000000000044
13339,13110.390402,666.2000000000044
13340,13111.382192,666.4000000000015
13341,13112.387727,665.8000000000029
13342,13113.384077,665.8000000000029
13343,13114.381518,665.8000000000029
13344,13115.391854,666.5999999999985
13345,13116.383918,666.8000000000029
13346,13117.378277,666.5999999999985
13347,13118.381439,666.5999999999985
13348,13119.387665,666.2000000000044
13349,13120.380181,664.8000000000029
13350,13121.38554,665.4000000000015
13351,13122.379864,668.5999999999985
13352,13123.383277,666.0
13353,13124.390664,666.2000000000044
13354,13125.383808,669.5999999999985
13355,13126.392522,663.8000000000029
13356,13127.380838,667.5999999999985
13357,13128.38648,667.8000000000029
13358,13129.386957,666.8000000000029
13359,13130.385042,666.5999999999985
13360,13131.389784,666.0
13361,13132.384659,667.8000000000029
13362,13133.391103,666.5999999999985
13363,13134.394943,665.0
13364,13135.403436,669.2000000000044
13365,13136.395188,667.4000000000015
13366,13137.399881,668.2000000000044
13367,13138.408116,666.8000000000029
13368,13139.39859,666.2000000000044
13369,13140.403868,665.5999999999985
13370,13141.397326,668.2000000000044
13371,13142.404748,666.5999999999985
13372,13143.40844,666.5999999999985
13373,13144.401328,666.8000000000029
13374,13145.407894,665.8000000000029
13375,13146.399248,666.0
13376,13147.406552,666.4000000000015
13377,13148.394699,665.5999999999985
13378,13149.403398,665.2000000000044
13379,13150.406814,666.2000000000044
13380,13151.402555,666.2000000000044
13381,13152.409076,667.2000000000044
13382,13153.400358,667.0
13383,13154.404612,666.8000000000029
13384,13155.395427,666.5999999999985
13385,13156.402595,669.2000000000044
13386,13157.397008,666.0
13387,13158.399995,668.2000000000044
13388,13159.409469,667.0
13389,13160.415686,666.2000000000044
13390,13161.41793,669.0
13391,13162.413505,666.8000000000029
13392,13163.418832,670.0
13393,13164.412435,669.2000000000044
13394,13165.417407,667.2000000000044
13395,13166.410512,667.0
13396,13167.417078,666.5999999999985
13397,13168.423728,666.2000000000044
13398,13169.4141,666.5999999999985
13399,13170.419036,666.4000000000015
13400,13171.411305,667.0
13401,13172.418006,667.0
13402,13173.420272,666.0
13403,13174.414649,667.0
13404,13175.423755,667.5999999999985
13405,13176.415669,667.0
13406,13177.419597,667.2000000000044
13407,13178.411986,667.8000000000029
13408,13179.417844,665.2000000000044
13409,13180.411547,667.5999999999985
13410,13181.416931,665.5999999999985
13411,13182.424923,666.8000000000029
13412,13183.428979,665.2000000000044
13413,13184.435378,668.2000000000044
13414,13185.435435,666.0
13415,13186.436469,662.8000000000029
13416,13187.431869,669.5999999999985
13417,13188.433182,668.8000000000029
